,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Poland,0.3733,0.36143,0.35474,0.36067,0.37501,0.38128,0.41101,0.4242,0.42481,0.41735,0.38985,0.34952,0.3421,0.35918,0.3678,0.3851,0.43292,0.43378,0.43031,0.40847,0.44048,0.4507,0.44129,0.48541,0.51933,0.53995,0.54287,0.54098,0.54759,0.52655,0.56419
Romania,1.33857,1.35569,1.50977,1.54722,1.49265,1.42952,1.5087,1.50366,1.39699,1.48125,1.34927,1.04936,0.94427,0.9083,0.85074,0.90053,0.89382,0.82575,0.64655,0.61906,0.59795,0.69292,0.64239,0.63186,0.63186,0.63888,0.65362,0.60167,0.55744,0.45132,0.45132
Spain,0.06395,0.0753,0.08136,0.08704,0.08266,0.0943,0.10005,0.1142,0.14745,0.19522,0.21888,0.24624,0.25967,0.2563,0.27303,0.34039,0.38093,0.49845,0.51173,0.58577,0.67084,0.72289,0.82652,0.93679,1.08748,1.28358,1.37722,1.40388,1.53967,1.37936,1.37396
Sweden,0,0,0,0,0,0.00295,0.00792,0.01088,0.01282,0.01884,0.02275,0.02374,0.02699,0.02986,0.02937,0.02969,0.03074,0.03091,0.03007,0.0339,0.03119,0.03506,0.03537,0.03702,0.03549,0.03302,0.03306,0.03669,0.03438,0.0494,0.06664
Switzerland,0.03781,0.04088,0.04354,0.04786,0.05336,0.05591,0.05723,0.06136,0.06181,0.06731,0.07197,0.08073,0.08492,0.08905,0.0878,0.0968,0.10474,0.10113,0.10413,0.10788,0.10727,0.11163,0.10958,0.11582,0.1195,0.12268,0.11928,0.11614,0.12376,0.11892,0.13289
Turkey,0,0,0.00103,0.00258,0.00145,0.00206,0.01646,0.02675,0.0442,0.11719,0.1259,0.15382,0.16823,0.18696,0.19771,0.25518,0.30806,0.36754,0.38931,0.46189,0.548,0.58953,0.64969,0.78167,0.82507,1.00445,1.14528,1.34161,1.33812,1.27481,1.38387
United Kingdom,1.77689,1.80746,1.79849,1.87084,1.91938,2.05849,2.08666,2.14761,2.03708,2.01538,2.08371,2.24462,2.19828,2.50645,2.65165,2.83483,3.35408,3.19687,3.25907,3.49351,3.60267,3.56496,3.60908,3.58011,3.74576,3.60531,3.43144,3.4549,3.56701,3.33648,3.57921
Eurasia,13.86112,14.42556,15.50648,16.80518,19.10438,20.95166,22.08157,23.04625,24.71792,25.16631,25.60999,25.31417,24.19782,24.08864,22.02476,20.91598,21.21044,20.08705,20.29896,20.47319,20.90033,21.19313,21.67829,22.67384,23.72618,24.04968,24.05064,24.58106,24.64155,21.72578,24.2107
Middle East,1.37322,1.36163,1.27208,1.49705,1.99385,2.3848,2.65129,3.06968,3.436,3.75486,3.76656,3.76872,4.20387,4.47254,4.75215,4.95993,5.52249,6.12541,6.52893,6.7532,7.14445,7.38901,8.04721,8.39318,9.03441,10.3185,10.77963,11.20972,12.24792,13.13117,13.91024
Bahrain,0.1047,0.12564,0.13611,0.14658,0.13925,0.17171,0.18846,0.22668,0.19042,0.19485,0.21464,0.24395,0.19671,0.24477,0.23996,0.23996,0.24292,0.29469,0.30652,0.31096,0.31687,0.32908,0.34978,0.3557,0.3605,0.396,0.41892,0.43556,0.45886,0.46145,0.45294
Iran,0.24499,0.16368,0.2112,0.32736,0.50266,0.6336,0.56602,0.59664,0.74727,0.82946,0.88387,0.85642,0.93232,0.99087,1.18591,1.31269,1.49581,1.75648,1.92989,2.2301,2.34533,2.6172,2.9547,3.07291,3.19001,3.91498,4.05408,4.21556,4.44864,5.27318,5.39177
