Año,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019
Periodo,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual
          Chiapas,93.1066041412461,88.4691371097315,83.9920184658854,87.7265143768614,88.3235685234311,86.8691721930981,84.4736939968634,81.9149716207773,86.1575326598424,84.8538426176453,86.7541475249777,87.5029485672868,82.0804609635679,85.7883851189944,85.5314855437067,86.2000101407457,89.1856732313296,88.1488960502503,90.1741457689121,88.4271812978094,92.9386441333502,90.7617338189882,86.5868670345612,89.2906588697626,89.8944759641656,89.4653567391806,92.530281709591,91.0058019301397,94.7688046357218,91.9425612536583,92.3947406482756,89.7933178255768,90.2203774690927,93.0956847271462,91.3760301675228,93.0088320323106,94.5704348529386,98.699818905521,99.5734619610309,96.4631369379503,97.3221586217417,99.9691260973647,98.6553576332245,101.94790170735,99.4736360149202,100.8458487549,99.7360435004454,100.107433526238,104.73325415012,101.355644982926,96.2606387641977,98.2910449787412,97.7168564412425,107.731459815819,100,104.588710827966,104.558886355631,104.239246530956,106.878813774049,105.06641437215,102.138399372028,103.426149895137,101.792146937857,106.224627723286,103.395330982077,105.089347025818,103.591130790128,101.072649318988,104.087549346809,103.460169120436,104.514195990286,99.6485308848816,97.339182980026,100.343793739965,100.46142589879,102.142624702215,97.7743286474582,100.371775572992,98.9609589906121,99.8124219783191,100.511338117733,,,,
          Chihuahua,73.7518568857257,73.1609824592311,75.5512836335631,80.2308850526496,75.6737520077924,75.187954847567,79.4759410200718,80.044872318804,81.6216026005254,79.0825926967421,77.2464364014282,81.2265609961679,82.2572999722821,86.1383181516958,81.7171538803935,83.1335576862218,87.0776372081581,88.7733326176473,93.4321614604974,88.1041722431311,85.8563815957379,91.0048705674392,92.4582094475079,95.7100286680758,91.2573725696902,88.0747558792442,94.3148908541684,92.1762045451411,95.6226515962587,92.5471257187031,81.4879478774466,81.8381648773762,84.294681383561,89.2151764744956,84.2089926532198,82.2527664494227,88.0116307443808,88.2968067691551,92.3143101163228,87.7188785198203,82.6956474087957,89.0381229361545,89.8942863032604,97.3379936255834,89.7415125684485,91.0784527940899,95.434791599136,96.8669586339863,102.238665698332,96.404717181386,93.3248341316353,102.094920049734,99.4331365736673,105.147109244963,100,95.1885571137045,102.115399308709,103.190669819121,108.380267665736,102.218723476818,102.644446302838,105.04850326676,109.288103419523,115.685884899928,108.166734472262,105.571260576609,112.667718513003,114.34139756754,121.299997207492,113.470093466161,111.547534166648,117.384036373265,117.203959156638,122.991269509361,117.281699801478,109.441148234308,119.148727769034,118.895560585756,125.940432315437,118.356467226134,114.027936700722,,,,
          Ciudad de México,77.5037438831715,83.417381280171,76.8114539598458,81.4408504009992,79.7933573810469,79.9846513194269,86.780491913801,80.2999252957294,86.1776510934481,83.3106799056013,78.9482508196981,88.9120648410663,83.2768569915296,86.7656405144819,84.475703291694,84.4126638136174,93.15406999869,87.8476700764953,89.9412200962282,88.8389059962577,83.8517398473945,94.21902385604,89.9996506979125,92.3495030872465,90.1049793721483,83.0367388417426,95.6531187803484,92.8810211572113,95.1078186316796,91.6696743527455,82.1740029422303,87.7386002449479,90.3317933810268,93.2846442545443,88.3822602056873,87.4052804217203,92.0910060271808,90.9508254141433,95.7107210480867,91.5394582277828,90.3160358988247,94.4932025576372,95.3380000365662,99.0138565616371,94.7902737636663,94.651396712787,98.8400116069771,97.0374707113694,103.615420221493,98.5360748131566,94.262975039896,101.15764068169,99.4712311553274,105.108153123086,100,98.0268043708629,103.311360342812,100.6847499551,106.475658069485,102.124643184565,101.532476775914,105.96564723652,105.179279073632,111.784978077147,106.115595290803,104.458626718408,110.954229159254,108.920015360013,118.843204625198,110.794018965718,110.01362714555,113.966021498517,111.489688297166,120.525367912966,113.99867621355,110.234755669236,117.304016907126,115.387856492927,124.859386493484,116.946503890693,112.43311094696,,,,
          Durango,75.7714249063642,77.5416106806337,83.1048414051246,87.1376976722297,80.8888936660881,81.3795891556029,81.1470724817814,85.2970829380515,85.7598352090916,83.3958949461318,77.4018624771595,81.0412966570196,83.0151568516901,86.4963635159284,81.9886698754494,81.4460087076918,82.8767546138182,86.2528214575496,88.775267513129,84.8377130730472,84.0807866035307,83.1535221760806,86.3490015083745,90.679866598321,86.0657942215767,83.6773163935142,87.0574451754448,89.770811960024,90.1329342701562,87.6596269497848,82.6442105699376,84.2521176971282,87.4137730128341,90.7440604530012,86.2635404332253,83.6831110370244,88.9871063585005,90.6792846598582,94.7897550931867,89.5348142871425,89.9620243920723,91.544494779808,93.0324641730371,98.5096115117817,93.2621487141748,90.4883389766607,96.8359740497331,98.1290892668698,101.619511187056,96.7682283700799,94.2402681950349,99.8722890250479,101.445069997766,104.442372782151,100,95.7002969050723,102.297346771416,103.427828186145,108.067461289916,102.373233288138,96.2400181872722,103.153484625267,106.109876184346,107.05744427806,103.140205818737,99.7469176571365,106.28036947282,108.491345649566,113.472608663742,106.997810360816,103.118874317885,105.977750236751,107.036336000733,106.754251113504,105.721802917218,100.42600792983,105.136630388529,107.793088632035,109.36266531037,105.679598065191,103.068378136869,,,,
          Guanajuato,72.2126494949305,73.8630006564548,73.6338228494249,75.1929330822895,73.7256015207749,73.2594503946058,77.7062792403296,74.5261348124196,77.8863465798302,75.8445527567963,73.0916009174461,77.3170209547002,75.4583587954282,79.9818374525978,76.4622045300431,77.6317958427164,81.1038032052146,79.8801815846973,82.7206390587552,80.3341049228459,79.9755914943212,82.1408991464582,81.1437009786476,85.5320846138181,82.1980690583113,81.8308854080294,87.9633184716326,83.6174545720907,84.9974403096147,84.6022746903419,78.7681669581836,79.0772817055556,80.8626733193843,85.3381133903746,81.0115588433745,82.4557469478496,87.1359743601377,86.927774115597,91.4051359735761,86.9811578492901,87.9271992985945,92.629621446742,92.4499433418314,95.7693738850686,92.1940344930591,92.6046871098258,94.3092024299467,96.2828289092357,100.89038825315,96.0217766755395,94.7353400750505,97.8671387650698,101.633191362821,105.764329797059,100,98.7244874247225,100.9814592006,105.687519809484,112.387490919631,104.445239338609,107.081248262705,113.197137642131,110.128777940275,114.428826328942,111.208997543513,109.58683403689,115.18200563043,116.879210290269,122.062463229545,115.927628296783,118.935843970327,121.232061146783,120.762405963989,124.654792250135,121.396275832808,119.598196476459,125.140626421358,121.229044250328,126.265893345228,123.058440123343,119.870114903888,,,,
          Guerrero,78.7396405368358,82.751126219878,83.9569698301669,88.5641152060332,83.5029629482285,85.3047338689905,87.2144140804352,89.3801749875283,90.1076704113034,88.0017483370644,87.504895052785,87.2426564839041,89.92234702218,92.2034821883685,89.2183451868094,88.4752906986564,90.3254497164286,91.2172864498974,94.7539593788723,91.1929965609637,91.0971058654317,91.1949901632146,92.8612280125721,99.3789932326053,93.6330793184559,92.8237312888844,95.7389708632147,95.2952103447386,96.8989254851463,95.189209495496,90.2789954253317,88.5343386653008,91.782537966589,97.2813774261483,91.9693123708425,91.3173604111237,95.2269381874612,97.8732600483768,102.930737254641,96.8370739754006,96.00263675775,96.5619906770008,98.0200928686404,101.493926857327,98.0196617901795,96.4470768054108,99.2379408860908,98.7662139524044,104.282114156797,99.6833364501756,95.9301376534746,100.600929851962,99.6059064491364,103.863026045427,100,100.464290206269,104.886068819341,103.385597515413,109.928296085092,104.666063156529,103.163910507401,108.28966743282,104.433872078354,108.266587258521,106.038509319274,109.905660899543,108.344889031345,106.757936582422,108.133857027663,108.285585885243,106.479210998162,108.576792333013,106.839453056084,111.828241618316,108.430924501394,111.211517977918,110.545569810356,108.991712920359,113.536910782125,111.07142787269,112.664928190509,,,,
          Hidalgo,72.964963890146,79.1540465183441,77.8719737653265,80.9471536456755,77.734534454873,79.4692005638709,83.8942287054307,83.1221590143662,85.2267403680043,82.928082162918,77.9692661466238,83.7153877097312,82.2802364243882,85.1917492937524,82.2891598936239,80.9059707749066,86.1132220428747,84.0835421099054,87.2853371873749,84.5970180287654,82.6995218778524,86.4676122303942,87.5457405734009,92.500050633805,87.3032313288631,87.235825026111,92.5505250210263,91.589124710121,90.210519221879,90.3964984947843,83.7825709405269,84.1016015096061,83.7682774796085,87.041430517248,84.6734701117474,83.3034379683791,90.4425527285388,88.890324837651,94.6259806042183,89.3155740346968,87.0185767953015,91.9033022335742,94.4517947577874,98.2024211856498,92.8940237430782,90.9067143859495,94.7948467354642,96.3533519313836,103.769548015136,96.4561152669834,93.195990551905,100.89446967956,99.9081036897238,106.001436078811,100,98.8471763379025,102.951641708279,103.980044924121,109.97439383357,103.938314200968,101.941770691892,110.32183118102,108.791683307961,118.079813682942,109.783774715954,112.249595313929,117.274517820449,112.062942080666,115.859539194083,114.361648602282,110.816846230653,114.843846610291,112.867537148244,119.151798403516,114.420007098176,114.711825473219,117.983660219224,116.352552194982,119.640527341311,117.172141307184,116.915756552059,,,,
          Jalisco,77.4824440456576,78.3757374162049,77.3091033173563,79.0157180011866,78.0457506951013,79.976846033276,80.5822758347093,79.7599841491572,81.3991406192159,80.4295616590896,78.908908265554,83.4098818981602,81.4892690853091,86.8993812419222,82.6768601227364,85.8178461287757,87.6009756402922,84.8482514560512,89.6725825284633,86.9849139383956,87.58794644405,89.8357562409405,88.9802992676543,92.1897583308699,89.6484400708787,88.1765571480368,91.5508727346707,89.863940469042,91.1361961726657,90.1818916311038,83.3604739110572,83.0228893543752,85.4695059722251,89.9250125251979,85.4444704407139,87.3667082025201,90.8195298030509,90.4026853145293,94.8083951288409,90.8493296122353,90.2171180011137,92.1442304720898,93.585718937493,98.3580857382999,93.5762882872491,94.9585779162998,95.8758414888868,96.9221101012872,103.096366968579,97.7132241187632,95.9590386902367,100.436136737413,98.8969721206242,104.707852451726,100,98.4003710289267,103.939693058019,103.860351168921,110.884242643913,104.271164474945,103.961707376801,108.108594672055,110.873522007105,112.047438655827,108.747815677947,109.534177238802,112.893039911649,115.16616937257,118.729200498586,114.080646755402,114.491826384785,114.510917478079,117.938433959334,121.381141246379,117.080579767144,118.69302506387,120.086935228923,120.601339187769,125.648389880319,121.25742234022,120.544046180046,,,,
          México,74.6331376328854,79.440967926743,76.9818266406232,76.1338542616784,76.7974466154825,75.6798223829513,80.3728448473056,78.137229198237,80.4531782262451,78.6607686636847,76.2334551331643,81.7004092649224,80.7736312218184,83.4178058308641,80.5313253626923,81.9616623644981,85.9002948300835,83.3870058752057,85.914978300996,84.2909853426958,83.0243772563936,87.5458119765568,86.6788404892415,89.8644046406959,86.778358590722,84.9277368634123,90.8557189075369,87.5392903270279,87.7421589367436,87.7662262586802,78.8394759980249,82.3263069599933,83.8166172695617,88.6730634377182,83.4138659163245,85.6692601705434,89.5142780265359,90.1945641299352,94.0871256506054,89.866306994405,90.1719530595103,94.7746451175204,94.4064473804821,96.7064998115797,94.0148863422731,93.9715958212733,97.2404241249599,97.8049785039817,103.611052773352,98.1570128058917,96.5277337104438,100.37779348935,99.6168912859928,103.477581514214,100,98.1723273668524,103.336225467867,102.699673753226,107.617562406275,102.956447248555,101.827691145779,104.778343579186,105.266989527228,109.62422451701,105.374312192301,103.11328959219,110.10552860466,107.691787277024,113.164881956669,108.518871857636,107.493550833428,112.542085743123,110.892820491434,121.321765512823,113.062555645202,111.791368112139,117.17507817512,114.546948354988,120.083197134111,115.899147944089,110.478458050401,,,,
          Michoacán de Ocampo,80.2265091121262,81.6056112931866,79.0314078065194,86.8095374951211,81.9182664267383,80.0813797761814,83.744240972987,83.7071918736028,87.4325566636821,83.7413423216133,83.0643098068716,85.4005435024466,82.8846734858355,89.1849381756609,85.1336162427037,86.1793784861225,88.4438923818381,87.9062281107959,94.0565885638792,89.1465218856589,88.499846742231,89.3619718655553,88.8987243704619,98.5281918235993,91.3221837004619,91.6167256327405,95.3517295510246,91.2829932593796,94.1430735666788,93.0986305024559,84.0935031969265,89.2324773045838,86.250487751686,93.1723895265964,88.1872144449481,88.7191053768014,93.668317097927,89.6972596277611,94.8677093042783,91.738097851692,91.8817777029626,96.2470994802015,93.2720749045437,100.583073633725,95.4960064303583,94.0936447419657,97.3247772910929,96.8196919558388,103.487830741286,97.9314861825458,97.7591387468236,99.9368729145709,97.8818991240492,104.422089214556,100,106.532306163501,108.780110792932,102.346292061421,108.746384393912,106.601273352942,104.741898138205,110.417811988198,110.10173131834,110.571090218595,108.958132915835,109.450400667666,115.543867714528,110.720950664027,118.590811511738,113.57650763949,115.971012927226,115.165803124021,113.457342843814,124.114623979443,117.177195718626,119.971784783711,120.224488315623,111.57128569312,122.95258556135,118.680036088451,119.784905738628,,,,
