"","NRO","SEXO","EDAD","edideal_muj","edideal_hom","DOMINIO","NSEGrup"
"686",686,"Masculino",28,26,30,"Sur","D/E"
"687",687,"Masculino",19,26,28,"Sur","D/E"
"688",688,"Femenino",52,30,30,"Sur","D/E"
"689",689,"Femenino",45,27,30,"Sur","D/E"
"690",690,"Masculino",29,30,30,"Sur","D/E"
"691",691,"Masculino",44,25,25,"Sur","D/E"
"692",692,"Masculino",29,25,28,"Sur","C"
"693",693,"Masculino",28,28,28,"Sur","D/E"
"694",694,"Femenino",45,35,35,"Centro","D/E"
"695",695,"Femenino",43,35,35,"Centro","D/E"
"696",696,"Masculino",41,28,28,"Centro","C"
"697",697,"Masculino",24,30,30,"Centro","D/E"
"698",698,"Femenino",52,35,35,"Centro","D/E"
"699",699,"Femenino",39,35,35,"Centro","D/E"
"700",700,"Masculino",58,35,30,"Centro","D/E"
"701",701,"Masculino",27,36,32,"Centro","D/E"
"702",702,"Masculino",23,28,25,"Centro","D/E"
"703",703,"Femenino",68,40,40,"Centro","D/E"
"704",704,"Femenino",53,32,32,"Centro","D/E"
"705",705,"Femenino",22,25,30,"Centro","D/E"
"706",706,"Femenino",27,30,30,"Centro","D/E"
"707",707,"Masculino",18,25,25,"Centro","D/E"
"708",708,"Masculino",40,30,30,"Centro","D/E"
"709",709,"Femenino",26,28,30,"Centro","C"
"710",710,"Femenino",62,26,33,"Centro","C"
"711",711,"Masculino",32,25,28,"Centro","A/B"
"712",712,"Masculino",46,24,27,"Centro","A/B"
"713",713,"Femenino",32,28,30,"Centro","C"
"714",714,"Femenino",23,23,26,"Centro","D/E"
"715",715,"Femenino",35,25,27,"Centro","D/E"
"716",716,"Masculino",48,20,25,"Centro","C"
"717",717,"Masculino",32,23,30,"Centro","C"
"718",718,"Masculino",50,22,30,"Centro","C"
"719",719,"Masculino",19,30,33,"Centro","C"
"720",720,"Masculino",58,23,25,"Centro","D/E"
"721",721,"Masculino",34,30,35,"Centro","C"
"722",722,"Masculino",70,20,24,"Centro","D/E"
"723",723,"Masculino",21,25,30,"Centro","C"
"724",724,"Masculino",76,99,99,"Centro","D/E"
"725",725,"Femenino",75,20,26,"Centro","D/E"
"726",726,"Femenino",27,25,25,"Centro","D/E"
"727",727,"Femenino",18,99,99,"Centro","D/E"
"728",728,"Femenino",23,25,28,"Centro","D/E"
"729",729,"Masculino",42,26,30,"Centro","D/E"
"730",730,"Masculino",40,99,99,"Centro","D/E"
"731",731,"Masculino",68,20,20,"Centro","D/E"
"732",732,"Femenino",23,25,26,"Centro","D/E"
"733",733,"Masculino",25,25,25,"Centro","D/E"
"734",734,"Femenino",32,26,26,"Centro","C"
"735",735,"Masculino",44,18,18,"Centro","D/E"
"736",736,"Femenino",39,20,25,"Centro","D/E"
"737",737,"Femenino",21,25,30,"Centro","D/E"
"738",738,"Masculino",18,25,25,"Centro","D/E"
"739",739,"Femenino",27,24,24,"Centro","D/E"
"740",740,"Femenino",40,99,99,"Centro","D/E"
"741",741,"Femenino",59,99,99,"Centro","D/E"
"742",742,"Femenino",36,25,25,"Centro","D/E"
"743",743,"Masculino",52,99,99,"Centro","D/E"
"744",744,"Masculino",26,28,29,"Sur","A/B"
"745",745,"Femenino",24,30,30,"Sur","A/B"
"746",746,"Masculino",37,27,29,"Sur","A/B"
"747",747,"Femenino",45,29,31,"Sur","A/B"
"748",748,"Masculino",24,27,28,"Sur","A/B"
"749",749,"Masculino",20,29,30,"Sur","C"
"750",750,"Femenino",50,30,30,"Sur","A/B"
"751",751,"Masculino",33,27,29,"Sur","A/B"
"752",752,"Femenino",46,28,28,"Sur","C"
"753",753,"Masculino",65,30,30,"Sur","A/B"
"754",754,"Femenino",32,25,28,"Sur","A/B"
"755",755,"Masculino",47,99,99,"Sur","A/B"
"756",756,"Femenino",38,25,25,"Sur","A/B"
"757",757,"Masculino",19,26,28,"Sur","C"
"758",758,"Masculino",21,25,25,"Sur","A/B"
"759",759,"Masculino",20,25,25,"Sur","D/E"
"760",760,"Masculino",23,25,25,"Sur","D/E"
"761",761,"Masculino",31,35,35,"Sur","D/E"
"762",762,"Femenino",29,27,27,"Sur","D/E"
"763",763,"Femenino",25,25,25,"Sur","D/E"
"764",764,"Masculino",50,25,25,"Sur","C"
"765",765,"Femenino",23,27,30,"Sur","C"
"766",766,"Femenino",32,29,30,"Sur","C"
"767",767,"Femenino",43,30,30,"Sur","A/B"
"768",768,"Masculino",32,25,30,"Sur","A/B"
"769",769,"Femenino",52,25,25,"Sur","D/E"
"770",770,"Femenino",60,25,30,"Sur","D/E"
"771",771,"Masculino",45,24,27,"Sur","D/E"
