Date,Open,High,Low,Close,Volume
4/8/2014,1845.47998,1854.949951,1837.48999,1851.959961,3721.45
4/9/2014,1852.640015,1872.430054,1852.380005,1872.180054,3308.65
4/10/2014,1872.280029,1872.530029,1830.869995,1833.079956,3758.78
4/11/2014,1830.650024,1835.069946,1814.359985,1815.689941,3743.46
4/14/2014,1818.180054,1834.189941,1815.800049,1830.609985,3111.54
4/15/2014,1831.449951,1844.02002,1816.290039,1842.97998,3736.44
4/16/2014,1846.01001,1862.310059,1846.01001,1862.310059,3155.08
4/17/2014,1861.72998,1869.630005,1856.719971,1864.849976,3341.43
4/21/2014,1865.790039,1871.890015,1863.180054,1871.890015,2642.5
4/22/2014,1872.569946,1884.890015,1872.569946,1879.550049,3215.44
4/23/2014,1879.319946,1879.75,1873.910034,1875.390015,3085.72
4/24/2014,1881.969971,1884.060059,1870.23999,1878.609985,3191.83
4/25/2014,1877.719971,1877.719971,1859.699951,1863.400024,3213.02
4/28/2014,1865,1877.01001,1850.609985,1869.430054,4034.68
4/29/2014,1870.780029,1880.599976,1870.780029,1878.329956,3647.82
4/30/2014,1877.099976,1885.199951,1872.689941,1883.949951,3779.23
5/1/2014,1884.390015,1888.589966,1878.040039,1883.680054,3416.74
5/2/2014,1885.300049,1891.329956,1878.5,1881.140015,3159.56
5/5/2014,1879.449951,1885.51001,1866.77002,1884.660034,2733.73
5/6/2014,1883.689941,1883.689941,1867.719971,1867.719971,3327.26
5/7/2014,1868.530029,1878.829956,1859.790039,1878.209961,3632.95
5/8/2014,1877.390015,1889.069946,1870.050049,1875.630005,3393.42
5/9/2014,1875.27002,1878.569946,1867.02002,1878.47998,3025.02
5/12/2014,1880.030029,1897.130005,1880.030029,1896.650024,3005.74
5/13/2014,1896.75,1902.170044,1896.060059,1897.449951,2915.68
5/14/2014,1897.130005,1897.130005,1885.77002,1888.530029,2822.06
5/15/2014,1888.160034,1888.160034,1862.359985,1870.849976,3552.64
5/16/2014,1871.189941,1878.280029,1864.819946,1877.859985,3173.65
5/19/2014,1876.660034,1886,1872.420044,1885.079956,2664.25
5/20/2014,1884.880005,1884.880005,1868.140015,1872.829956,3007.7
5/21/2014,1873.339966,1888.800049,1873.339966,1888.030029,2777.14
5/22/2014,1888.189941,1896.329956,1885.390015,1892.48999,2759.8
5/23/2014,1893.319946,1901.26001,1893.319946,1900.530029,2396.28
5/27/2014,1902.01001,1912.280029,1902.01001,1911.910034,2911.02
5/28/2014,1911.77002,1914.459961,1907.300049,1909.780029,2976.45
5/29/2014,1910.599976,1920.030029,1909.819946,1920.030029,2709.05
5/30/2014,1920.329956,1924.030029,1916.640015,1923.569946,3263.49
6/2/2014,1923.869995,1925.880005,1915.97998,1924.969971,2509.02
6/3/2014,1923.069946,1925.069946,1918.790039,1924.23999,2867.18
6/4/2014,1923.060059,1928.630005,1918.599976,1927.880005,2793.92
6/5/2014,1928.52002,1941.73999,1922.930054,1940.459961,3113.27
6/6/2014,1942.410034,1949.439941,1942.410034,1949.439941,2864.3
6/9/2014,1948.969971,1955.550049,1947.160034,1951.27002,2812.18
6/10/2014,1950.339966,1950.859985,1944.640015,1950.790039,2702.36
6/11/2014,1949.369995,1949.369995,1940.079956,1943.890015,2710.62
6/12/2014,1943.349976,1943.349976,1925.780029,1930.109985,3040.48
6/13/2014,1930.800049,1937.300049,1927.689941,1936.160034,2598.23
6/16/2014,1934.839966,1941.150024,1930.910034,1937.780029,2926.13
6/17/2014,1937.150024,1943.689941,1933.550049,1941.98999,2971.26
6/18/2014,1942.72998,1957.73999,1939.290039,1956.97998,3065.22
6/19/2014,1957.5,1959.869995,1952.26001,1959.47998,2952.15
6/20/2014,1960.449951,1963.910034,1959.170044,1962.869995,4336.24
6/23/2014,1962.920044,1963.73999,1958.890015,1962.609985,2717.63
6/24/2014,1961.969971,1968.170044,1948.339966,1949.97998,3089.7
6/25/2014,1949.27002,1960.829956,1947.48999,1959.530029,3106.71
6/26/2014,1959.890015,1959.890015,1944.689941,1957.219971,2778.84
6/27/2014,1956.560059,1961.469971,1952.180054,1960.959961,4290.59
6/30/2014,1960.790039,1964.23999,1958.219971,1960.22998,3037.35
7/1/2014,1962.290039,1978.579956,1962.290039,1973.319946,3188.24
7/2/2014,1973.060059,1976.670044,1972.579956,1974.619995,2851.48
