NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2020/00478;02/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/07/2020;IN - Internet;S;F
213/2020/00479;03/07/2020;Empresa Municipal de Transportes, S.A.;Desistimiento;22/07/2021;IN - Internet;S;F
213/2020/00480;03/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Inadmitir a Trámite;23/07/2020;IN - Internet;S;F
213/2020/00481;03/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/07/2020;IN - Internet;S;F
213/2020/00482;01/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;23/07/2020;AC - Atención al ciudadano;S;F
213/2020/00484;03/07/2020;Dirección General de Transparencia y Calidad;TIPO I No procedente;09/07/2020;IN - Internet;N;
213/2020/00485;03/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;31/07/2020;OT - Otros;N;
213/2020/00486;03/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;26/08/2020;IN - Internet;S;F
213/2020/00487;03/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Inadmitir a Trámite;16/07/2020;IN - Internet;S;F
213/2020/00488;05/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;21/07/2020;IN - Internet;S;F
213/2020/00489;05/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;23/07/2020;IN - Internet;S;F
213/2020/00490;06/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Conceder;17/07/2020;IN - Internet;S;F
213/2020/00491;01/07/2020;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;14/07/2020;AC - Atención al ciudadano;S;F
213/2020/00492;06/07/2020;Coordinación del Distrito de Chamberí;Conceder;16/07/2020;IN - Internet;N;
213/2020/00494;07/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Conceder;17/07/2020;IN - Internet;S;F
213/2020/00495;07/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/07/2020;IN - Internet;S;F
213/2020/00496;07/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/07/2020;IN - Internet;S;F
213/2020/00497;07/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/07/2020;IN - Internet;S;F
213/2020/00498;07/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;14/07/2020;IN - Internet;N;
213/2020/00499;07/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;22/07/2020;IN - Internet;S;F
213/2020/00501;06/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;26/08/2020;AC - Atención al ciudadano;S;F
213/2020/00502;06/07/2020;Secretaría General Técnica de Vicealcaldía;Conceder;21/07/2020;AC - Atención al ciudadano;S;F
213/2020/00503;08/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;13/07/2020;IN - Internet;S;F
213/2020/00505;09/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/08/2020;IN - Internet;S;F
213/2020/00506;07/07/2020;Club de Campo Villa de Madrid, S.A.;Estimación parcial;30/07/2020;AC - Atención al ciudadano;S;F
213/2020/00507;09/07/2020;Dirección General de Transparencia y Calidad;No admisión a trámite;10/07/2020;OT - Otros;N;
213/2020/00508;09/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/08/2020;IN - Internet;S;F
213/2020/00509;09/07/2020;Coordinación del Distrito de San Blas-Canillejas;Desistimiento;16/07/2020;IN - Internet;S;F
213/2020/00510;09/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/07/2020;IN - Internet;S;F
213/2020/00511;10/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/07/2020;IN - Internet;S;F
213/2020/00512;10/07/2020;Coordinación del Distrito de Latina;Conceder;28/07/2020;IN - Internet;S;F
213/2020/00513;08/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;20/08/2020;AC - Atención al ciudadano;S;F
213/2020/00514;08/07/2020;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;31/07/2020;AC - Atención al ciudadano;S;F
213/2020/00516;11/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;29/07/2020;IN - Internet;S;F
213/2020/00517;11/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;31/07/2020;IN - Internet;S;F
213/2020/00518;12/07/2020;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;23/07/2020;IN - Internet;S;F
213/2020/00519;13/07/2020;Secretaría General del Pleno;Inadmitir a Trámite;24/07/2020;IN - Internet;S;F
213/2020/00521;08/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;20/08/2020;AC - Atención al ciudadano;S;F
213/2020/00522;13/07/2020;Coordinación del Distrito de Latina;Conceder;29/07/2020;IN - Internet;S;F
213/2020/00523;13/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;07/10/2020;IN - Internet;S;F
213/2020/00524;13/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;26/08/2020;IN - Internet;S;F
213/2020/00525;09/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;26/08/2020;AC - Atención al ciudadano;S;F
213/2020/00526;13/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;29/07/2020;IN - Internet;S;F
213/2020/00527;14/07/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;30/11/2020;IN - Internet;S;F
213/2020/00528;14/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;17/07/2020;IN - Internet;S;F
213/2020/00529;14/07/2020;Gerencia de Madrid Salud;Conceder;07/09/2020;IN - Internet;S;F
213/2020/00532;14/07/2020;Coordinación del Distrito de Puente de Vallecas;;;IN - Internet;S;J
213/2020/00533;14/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;31/08/2020;IN - Internet;S;F
213/2020/00534;14/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;17/07/2020;IN - Internet;S;F
213/2020/00535;15/07/2020;Dirección Agencia Tributaria Madrid;Inadmitir a Trámite;23/07/2020;IN - Internet;S;J
213/2020/00537;15/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Inadmitir a Trámite;24/07/2020;IN - Internet;S;F
213/2020/00538;14/07/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00539;14/07/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00540;15/07/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;10/08/2020;IN - Internet;S;F
213/2020/00541;16/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;17/07/2020;IN - Internet;S;F
213/2020/00542;16/07/2020;Dirección General de Transparencia y Calidad;Conceder;28/07/2020;IN - Internet;S;F
213/2020/00543;16/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;27/07/2020;IN - Internet;S;F
213/2020/00544;16/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;23/07/2020;IN - Internet;S;F
213/2020/00545;16/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;31/07/2020;IN - Internet;S;F
213/2020/00546;16/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;31/07/2020;IN - Internet;S;F
213/2020/00548;17/07/2020;Coordinación del Distrito de Arganzuela;Acumulación expediente;21/07/2020;IN - Internet;S;F
213/2020/00549;17/07/2020;Coordinación del Distrito de Centro;Acumulación expediente;22/01/2021;IN - Internet;S;F
213/2020/00550;17/07/2020;Coordinación del Distrito de Retiro;Conceder;31/07/2020;IN - Internet;S;F
213/2020/00551;17/07/2020;Coordinación del Distrito de Salamanca;Conceder;09/09/2020;IN - Internet;S;F
213/2020/00552;17/07/2020;Coordinación del Distrito de Chamartín;Conceder;28/09/2020;IN - Internet;S;F
213/2020/00553;17/07/2020;Coordinación del Distrito de Tetuán;Conceder;10/08/2021;IN - Internet;S;F
213/2020/00554;17/07/2020;Coordinación del Distrito de Chamberí;Conceder;03/08/2020;IN - Internet;S;F
213/2020/00555;17/07/2020;Coordinación del Distrito de Fuencarral-El Pardo;Inadmitir a Trámite;11/08/2020;IN - Internet;S;F
213/2020/00556;17/07/2020;Coordinación del Distrito de Moncloa-Aravaca;Conceder;04/09/2020;IN - Internet;S;F
213/2020/00557;17/07/2020;Coordinación del Distrito de Latina;Conceder;30/07/2020;IN - Internet;S;F
213/2020/00558;17/07/2020;Coordinación del Distrito de Carabanchel;Conceder;20/08/2020;IN - Internet;S;F
213/2020/00559;17/07/2020;Coordinación del Distrito de Usera;Resolución concediendo;23/07/2021;IN - Internet;S;F
213/2020/00560;17/07/2020;Coordinación del Distrito de Puente de Vallecas;;;IN - Internet;S;F
213/2020/00561;17/07/2020;Coordinación del Distrito de Moratalaz;Conceder;30/04/2021;IN - Internet;S;F
213/2020/00562;17/07/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;01/09/2020;IN - Internet;S;F
213/2020/00563;17/07/2020;Coordinación del Distrito de Hortaleza;Inadmitir a Trámite;04/03/2021;IN - Internet;S;F
213/2020/00564;17/07/2020;Coordinación del Distrito de Villaverde;Conceder;15/09/2020;IN - Internet;S;F
213/2020/00565;17/07/2020;Coordinación del Distrito de Villa de Vallecas;Conceder;17/08/2020;IN - Internet;S;F
213/2020/00566;17/07/2020;Coordinación del Distrito de Vicálvaro;Acumulación expediente;06/10/2020;IN - Internet;S;F
213/2020/00567;17/07/2020;Coordinación del Distrito de San Blas-Canillejas;Conceder;04/08/2020;IN - Internet;S;F
213/2020/00568;17/07/2020;Coordinación del Distrito de Barajas;Conceder parcial;30/07/2020;IN - Internet;S;F
213/2020/00570;17/07/2020;Coordinación del Distrito de Arganzuela;Conceder parcial;21/08/2020;IN - Internet;S;F
213/2020/00571;17/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;11/09/2020;IN - Internet;S;F
213/2020/00573;20/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;07/08/2020;IN - Internet;S;F
213/2020/00574;20/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/07/2020;IN - Internet;S;F
213/2020/00575;20/07/2020;Secretaría General Técnica de Vicealcaldía;Conceder;17/08/2020;IN - Internet;S;F
213/2020/00576;21/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/07/2020;IN - Internet;S;F
213/2020/00577;22/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;11/09/2020;IN - Internet;S;F
213/2020/00578;22/07/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;14/08/2020;IN - Internet;S;J
213/2020/00579;22/07/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;TIPO I Resuelta favorablemente;27/08/2020;IN - Internet;S;J
213/2020/00580;22/07/2020;Secretaría General Técnica de Vicealcaldía;Conceder;17/08/2020;IN - Internet;S;J
213/2020/00581;22/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;03/11/2020;IN - Internet;S;J
213/2020/00582;22/07/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;10/08/2020;IN - Internet;S;F
213/2020/00583;22/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;07/09/2020;IN - Internet;S;F
213/2020/00585;21/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;24/08/2020;OT - Otros;S;F
213/2020/00586;23/07/2020;Coordinación del Distrito de Arganzuela;Conceder;16/10/2020;IN - Internet;N;
213/2020/00587;23/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;26/08/2020;IN - Internet;S;F
213/2020/00589;23/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;28/07/2020;IN - Internet;S;F
213/2020/00590;24/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;01/10/2020;IN - Internet;N;
213/2020/00592;25/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/08/2020;IN - Internet;S;F
213/2020/00593;27/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/07/2020;IN - Internet;S;F
213/2020/00594;23/07/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;10/08/2020;AC - Atención al ciudadano;S;F
213/2020/00596;28/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder parcial;18/08/2020;IN - Internet;S;F
213/2020/00597;28/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;31/07/2020;IN - Internet;S;F
213/2020/00598;29/07/2020;Gerencia de Agencia de Actividades;Conceder;08/09/2020;IN - Internet;S;F
213/2020/00599;29/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;No admisión a trámite;07/08/2020;IN - Internet;N;
213/2020/00600;30/07/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;01/08/2020;IN - Internet;S;F
213/2020/00601;30/07/2020;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;03/08/2020;IN - Internet;S;F
213/2020/00603;28/07/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;01/09/2020;AC - Atención al ciudadano;S;F
213/2020/00605;30/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;28/08/2020;AC - Atención al ciudadano;S;F
213/2020/00619;31/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Acumulación expediente;04/08/2020;IN - Internet;S;F
213/2020/00620;31/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Acumulación expediente;04/08/2020;IN - Internet;S;F
213/2020/00621;31/07/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder parcial;14/01/2021;IN - Internet;S;F
213/2020/00622;31/07/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;18/11/2020;IN - Internet;S;F
213/2020/00623;31/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Acumulación expediente;04/08/2020;IN - Internet;S;F
213/2020/00624;31/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;22/09/2020;IN - Internet;S;F
213/2020/00625;31/07/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;05/10/2020;IN - Internet;S;F
213/2020/00626;07/07/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;27/08/2020;AC - Atención al ciudadano;S;F
213/2020/00627;31/07/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;No admisión a trámite;07/08/2020;IN - Internet;S;F
213/2020/00628;31/07/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;14/10/2020;IN - Internet;S;F
213/2020/00629;31/07/2020;Secretaría General Técnica de Vicealcaldía;Conceder;16/09/2020;IN - Internet;S;F
213/2020/00637;03/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/08/2020;IN - Internet;S;J
213/2020/00640;03/08/2020;Gerencia de Agencia de Actividades;Inadmitir a Trámite;28/08/2020;IN - Internet;S;J
213/2020/00641;03/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;08/10/2020;IN - Internet;S;F
213/2020/00642;03/08/2020;Secretaría General Técnica de Vicealcaldía;Conceder;16/09/2020;IN - Internet;S;F
213/2020/00643;03/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/08/2020;IN - Internet;S;F
213/2020/00668;05/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/08/2020;IN - Internet;S;F
213/2020/00669;05/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/08/2020;IN - Internet;S;F
213/2020/00670;06/08/2020;Institución Ferial de Madrid;;;IN - Internet;S;F
213/2020/00672;06/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/08/2020;IN - Internet;S;F
213/2020/00673;06/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;28/08/2020;IN - Internet;S;F
213/2020/00678;07/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;31/08/2020;IN - Internet;S;J
213/2020/00679;30/07/2020;Club de Campo Villa de Madrid, S.A.;Estimación parcial;26/08/2020;AC - Atención al ciudadano;S;F
213/2020/00680;18/07/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;17/09/2020;OT - Otros;S;F
213/2020/00681;08/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/08/2020;IN - Internet;S;F
213/2020/00682;08/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/08/2020;IN - Internet;S;F
213/2020/00686;09/08/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;31/08/2020;IN - Internet;S;F
213/2020/00687;10/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/08/2020;IN - Internet;S;F
213/2020/00688;10/08/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;No admisión a trámite;14/08/2020;IN - Internet;S;F
213/2020/00689;11/08/2020;Coordinación del Distrito de Fuencarral-El Pardo;Inadmitir a Trámite;18/08/2020;IN - Internet;S;F
213/2020/00690;12/08/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;08/09/2020;IN - Internet;S;F
213/2020/00691;12/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;11/09/2020;IN - Internet;S;F
213/2020/00692;13/08/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;31/08/2020;IN - Internet;S;F
213/2020/00693;18/06/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;08/09/2020;OT - Otros;S;F
213/2020/00694;13/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;17/08/2020;IN - Internet;S;F
213/2020/00695;13/08/2020;Coordinación del Distrito de Fuencarral-El Pardo;Inadmitir a Trámite;18/08/2020;IN - Internet;S;F
213/2020/00696;13/08/2020;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Inadmitir a Trámite;11/09/2020;IN - Internet;S;F
213/2020/00697;06/08/2020;Empresa Municipal de Transportes, S.A.;Resolución concediendo;18/09/2020;AC - Atención al ciudadano;S;F
213/2020/00698;15/08/2020;Gerencia de Madrid Salud;Conceder;09/09/2020;IN - Internet;S;J
213/2020/00699;17/08/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;23/09/2020;IN - Internet;S;F
213/2020/00700;17/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/08/2020;IN - Internet;S;F
213/2020/00701;17/08/2020;Secretaría General Técnica de Vicealcaldía;Conceder;17/09/2020;IN - Internet;S;F
213/2020/00703;18/08/2020;Empresa Municipal de Transportes, S.A.;No admisión a trámite;31/08/2020;IN - Internet;S;F
213/2020/00704;18/08/2020;Secretaría General Técnica de Vicealcaldía;Conceder;29/09/2020;IN - Internet;S;F
213/2020/00705;11/08/2020;Secretaría General Técnica de Vicealcaldía;Conceder;01/10/2020;AC - Atención al ciudadano;S;J
213/2020/00706;19/08/2020;Coordinación del Distrito de Salamanca;Conceder;09/09/2020;IN - Internet;S;F
213/2020/00707;19/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;07/10/2020;IN - Internet;S;F
213/2020/00710;19/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;30/09/2020;IN - Internet;S;F
213/2020/00711;19/08/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;17/09/2020;IN - Internet;S;F
213/2020/00712;19/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;26/08/2020;IN - Internet;S;F
213/2020/00713;20/08/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;21/08/2020;IN - Internet;S;J
213/2020/00715;20/08/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder parcial;18/09/2020;IN - Internet;S;J
213/2020/00716;13/08/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00717;20/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/08/2020;IN - Internet;S;F
213/2020/00718;10/06/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder parcial;27/08/2020;CE - Correo electrónico;S;F
213/2020/00719;21/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;28/08/2020;OT - Otros;N;
213/2020/00720;21/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;28/08/2020;OT - Otros;N;
213/2020/00721;21/08/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;10/09/2020;IN - Internet;S;F
213/2020/00722;22/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/08/2020;IN - Internet;S;F
213/2020/00725;23/08/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Inadmitir a Trámite;07/06/2021;IN - Internet;S;F
213/2020/00728;24/08/2020;Coordinación del Distrito de Centro;;;IN - Internet;S;F
213/2020/00729;24/08/2020;Secretaría General Técnica de Vicealcaldía;Conceder;10/11/2020;IN - Internet;S;F
213/2020/00730;24/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;24/09/2020;IN - Internet;S;F
213/2020/00731;24/08/2020;Gerencia de Madrid Salud;Conceder;09/09/2020;IN - Internet;S;F
213/2020/00732;24/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;03/09/2020;AC - Atención al ciudadano;S;F
213/2020/00733;25/08/2020;Coordinación del Distrito de Chamartín;Conceder;16/09/2020;IN - Internet;S;F
213/2020/00734;25/08/2020;Coordinación del Distrito de Villaverde;Conceder;20/10/2020;IN - Internet;S;F
213/2020/00735;26/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;10/09/2020;OT - Otros;N;
213/2020/00736;26/08/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00737;27/08/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;25/09/2020;OT - Otros;N;
213/2020/00738;27/08/2020;Coordinación del Distrito de Salamanca;Conceder;09/09/2020;IN - Internet;S;F
213/2020/00739;27/08/2020;Gerencia de Agencia de Actividades;Resolución concediendo;18/01/2021;IN - Internet;N;
213/2020/00740;22/08/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/09/2020;IN - Internet;S;J
213/2020/00741;22/08/2020;Coordinación del Distrito de Moncloa-Aravaca;Conceder;07/09/2020;IN - Internet;S;J
213/2020/00742;27/08/2020;Gerencia de Agencia de Actividades;Conceder;24/09/2020;IN - Internet;S;J
213/2020/00743;27/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/09/2020;IN - Internet;S;F
213/2020/00744;28/08/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;21/10/2020;IN - Internet;S;F
213/2020/00745;28/08/2020;Coordinación del Distrito de Hortaleza;TIPO I No procedente;18/06/2021;IN - Internet;S;F
213/2020/00746;29/08/2020;Empresa Municipal de Transportes, S.A.;Resolución concediendo;22/09/2020;IN - Internet;S;F
213/2020/00747;30/08/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/09/2020;IN - Internet;S;F
213/2020/00748;31/08/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;24/09/2020;IN - Internet;S;F
213/2020/00749;31/08/2020;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Conceder;27/10/2020;IN - Internet;S;F
213/2020/00751;01/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;No admisión a trámite;05/10/2020;IN - Internet;S;F
213/2020/00752;31/08/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;22/09/2020;AC - Atención al ciudadano;S;F
213/2020/00753;02/09/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Estimación parcial;19/09/2020;IN - Internet;S;F
213/2020/00754;02/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;04/09/2020;IN - Internet;S;F
213/2020/00755;27/08/2020;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;02/10/2020;AC - Atención al ciudadano;S;F
213/2020/00756;27/08/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;11/09/2020;AC - Atención al ciudadano;S;F
213/2020/00757;03/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;07/09/2020;IN - Internet;S;F
213/2020/00759;03/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;07/09/2020;IN - Internet;S;F
213/2020/00761;03/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/10/2020;IN - Internet;S;F
213/2020/00762;04/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/09/2020;IN - Internet;S;F
213/2020/00763;05/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;05/10/2020;IN - Internet;S;F
213/2020/00764;07/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/09/2020;IN - Internet;S;F
213/2020/00765;07/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;05/10/2020;IN - Internet;S;F
213/2020/00766;07/09/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;09/10/2020;IN - Internet;S;F
213/2020/00767;07/09/2020;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Inadmitir a Trámite;23/09/2020;IN - Internet;S;F
213/2020/00768;07/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;11/11/2020;IN - Internet;S;J
213/2020/00769;07/09/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;02/12/2020;IN - Internet;N;
