NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2018/00255;12/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;26/03/2018;IN - Internet;S;F
213/2018/00256;12/03/2018;Dirección General de Transparencia y Calidad;Desistimiento;28/03/2018;IN - Internet;S;F
213/2018/00257;12/03/2018;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;19/04/2018;IN - Internet;S;F
213/2018/00258;13/03/2018;Dirección General de Transparencia y Calidad;Desistimiento;14/03/2018;IN - Internet;S;F
213/2018/00259;13/03/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;16/04/2018;IN - Internet;S;F
213/2018/00260;13/03/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Inadmitir a Trámite;10/04/2018;IN - Internet;S;F
213/2018/00262;14/03/2018;Secretaría General Técnica de Vicealcaldía;Conceder;10/04/2018;IN - Internet;S;F
213/2018/00264;15/03/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;27/03/2018;IN - Internet;S;F
213/2018/00265;15/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;26/03/2018;OT - Otros;N;
213/2018/00266;15/03/2018;Dirección General de Transparencia y Calidad;TIPO I Publicada;26/03/2018;CE - Correo electrónico;N;
213/2018/00267;15/03/2018;Dirección General de Transparencia y Calidad;TIPO I Publicada;19/03/2018;IN - Internet;N;
213/2018/00268;15/03/2018;Dirección General de Transparencia y Calidad;Desistimiento;19/03/2018;IN - Internet;S;F
213/2018/00269;16/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;19/04/2018;IN - Internet;S;F
213/2018/00270;17/03/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Denegar;06/04/2018;IN - Internet;S;F
213/2018/00271;09/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/04/2018;AC - Atención al ciudadano;S;F
213/2018/00272;03/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;04/04/2018;AC - Atención al ciudadano;S;F
213/2018/00273;03/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;04/04/2018;AC - Atención al ciudadano;S;F
213/2018/00274;19/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Inadmitir a Trámite;03/04/2018;IN - Internet;S;F
