CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,VP,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSD,OVSDSE,IM,GM,IND0A100,LUG_NAC,LUGAR_EST,AÑOS
10,Durango,10036,Tlahualilo,22895,-,4.21,21.07,4.1,0.54,3.12,28.33,1.13,57.21,51.36,-,-,-0.791,Bajo,-,1877,30,2015
10,Durango,10013,Mapim�,22367,-,8.64,39.47,-,2.82,5.6,49.1,12.45,65.88,66.75,-,13.84,-0.694,Medio,-,1776,24,2000
10,Durango,10036, Tlahualilo                                       ,22244,-,4.9,24.94,5.41,1.06,2.46,35.03,7.54,57.22,52.82,-,-,-0.82,Bajo,18.405,1890,-,2010
10,Durango,10026,San Dimas,21907,-,8.3,44.19,-,37.48,23.74,57.09,35.96,100,51.2,-,31.29,0.145,Alto,-,1066,7,2000
10,Durango,10038,Vicente Guerrero,21861,-,2.76,16.03,1.61,0.65,0.57,22.91,1.77,24.32,56.36,-,-,-1.117,Muy bajo,-,2144,36,2015
10,Durango,10034,Tamazula,21842,-,23.94,72.22,88.74,92.45,77.36,76.24,81.09,100,75.16,-,-,1.443,Muy alto,-,207,1,1990
10,Durango,10038, Vicente Guerrero                                 ,21117,-,3.83,21.58,2.35,1.02,0.73,30.19,5.61,24.32,61.31,-,-,-1.075,Bajo,15.521,2086,-,2010
10,Durango,10038,Vicente Guerrero,20614,-,4.07,25.33,6.78,0.82,0.7,33.13,10.23,26.51,63.78,-,-,-1.112,Bajo,-,2112,36,2005
10,Durango,10038,Vicente Guerrero,20126,4254,5.03,-,-,2.18,5.98,-,-,-,-,21.04,-,-1.129,Bajo,-,2073,-,1995
10,Durango,10036,Tlahualilo,19918,-,6.52,35.21,-,2.15,3.23,39.99,14.92,57.22,62.19,-,9.3,-0.979,Bajo,-,2001,33,2000
10,Durango,10036,Tlahualilo,19882,-,5.59,29.43,4.92,0.94,2.16,38.56,10.95,55.75,60.56,-,-,-0.889,Bajo,-,1948,33,2005
10,Durango,10038,Vicente Guerrero,19813,-,4.34,30.68,-,1.18,1.83,35.95,11.77,27.1,65.5,-,6.89,-1.235,Bajo,-,2174,36,2000
10,Durango,10016,Nombre de Dios,19732,-,7.22,50.26,52.32,8.64,20.69,57.38,25.68,100,81.71,-,-,-0.405,Medio,-,1544,18,1990
10,Durango,10016,Nombre de Dios,19694,-,3.36,20.46,5.19,0.79,1.3,26.62,2.41,71.32,54.51,-,-,-0.731,Bajo,-,1828,27,2015
10,Durango,10026, San Dimas                                        ,19691,-,5.61,30.08,15.19,23.48,16.68,46.41,15.95,73.98,55.17,-,-,0.277,Medio,30.8,945,-,2010
10,Durango,10026,San Dimas,19383,-,4.87,25.13,7.65,7.13,4.34,36.88,9.83,73.98,28.71,-,-,-0.26,Medio,-,1400,13,2015
10,Durango,10016,Nombre De Dios,19318,4083,6.58,-,-,4.01,11.04,-,-,-,-,61.62,-,-0.545,Medio,-,1624,-,1995
10,Durango,10026,San Dimas,19303,-,7.94,36.61,26.09,8.19,53.89,52.98,35.87,100,49.86,-,-,0.255,Alto,-,958,8,2005
10,Durango,10038,Vicente Guerrero,18878,-,6.02,41.78,28.8,7.29,6.9,50.3,19.77,29.3,75.95,-,-,-1.146,Bajo,-,2072,36,1990
10,Durango,10016, Nombre de Dios                                   ,18488,-,4.37,27.56,8.83,1.36,1.99,33.01,7.72,71.32,57.42,-,-,-0.673,Medio,20.063,1766,-,2010
10,Durango,10016,Nombre De Dios,18039,-,6.01,39.26,-,2.43,4.33,41.5,17.33,100,73.22,-,20.21,-0.566,Medio,-,1670,19,2000
10,Durango,10016,Nombre de Dios,17318,-,5.48,33.71,14.96,1.78,2.39,38.24,15.83,100,71.3,-,-,-0.449,Medio,-,1592,21,2005
10,Durango,10035,Tepehuanes,14942,-,11.26,58.77,47.86,44.89,36.23,44.21,25.84,100,70.55,-,-,-0.288,Medio,-,1452,16,1990
10,Durango,10018, El Oro                                           ,14815,-,6.61,49,52.09,12.25,16.64,46.12,12.75,65.23,73.65,-,-,-0.837,Bajo,-,1868,33,1990
10,Durango,10020,P�nuco de Coronado,14530,-,6.48,51.5,49.28,4.23,14.76,57.44,15.64,100,76.98,-,-,-0.58,Bajo,-,1661,26,1990
10,Durango,10020,P�nuco De Coronado,14520,2899,6.27,-,-,1.34,4.09,-,-,-,-,49.89,-,-0.845,Bajo,-,1874,-,1995
10,Durango,10028,San Juan del R�o,14401,-,8.77,56.67,73.96,10.6,23.27,57.95,20.77,100,82.48,-,-,-0.186,Medio,-,1348,14,1990
10,Durango,10015,Nazas,14250,-,8.06,53.11,50.2,10.86,9.85,56.48,20.39,100,80.16,-,-,-0.48,Medio,-,1603,21,1990
