"date","time","size","version","os","country","ip_id"
"2020-04-24","02:47:38",86429671,"3.6.3","win","US",96
"2020-04-24","02:47:34",86429664,"3.6.3","win","RU",97
"2020-04-24","02:47:50",78114104,"3.5.3","osx","US",38
"2020-04-24","02:48:16",86525570,"3.6.3","win","CN",98
"2020-04-24","02:48:28",81864920,"3.6.3","osx",NA,3
"2020-04-24","18:13:26",1056478,"3.6.3","osx","US",31
"2020-04-24","18:13:46",87660622,"4.0.0","win","DE",99
"2020-04-24","18:13:45",87667527,"4.0.0patched","win","US",100
"2020-04-24","18:13:48",87564155,"4.0.0","win","RU",101
"2020-04-24","18:13:55",81774920,"3.6.3","osx","US",14
"2020-04-24","18:13:53",81774920,"3.6.3","osx","US",14
"2020-04-24","18:13:58",87660326,"4.0.0","win","TR",102
"2020-04-24","18:14:09",87660370,"4.0.0","win","US",103
"2020-04-24","18:14:04",88043423,"4.0.0","osx",NA,3
"2020-04-24","18:14:09",87660273,"4.0.0","win",NA,3
"2020-04-24","18:14:15",88140737,"4.0.0","osx",NA,3
"2020-04-24","18:14:20",81774920,"3.6.3","osx","US",14
"2020-04-24","18:14:19",81774920,"3.6.3","osx","US",14
"2020-04-24","18:14:19",87564156,"4.0.0","win",NA,3
"2020-04-24","18:14:28",86429666,"3.6.3","win","HK",104
"2020-04-24","18:14:21",1049323,"3.6.0","osx",NA,3
"2020-04-24","18:14:34",5245703,"4.0.0","win","NP",105
"2020-04-24","18:14:34",87667266,"4.0.0patched","win","US",35
"2020-04-24","18:14:32",1246934,"4.0.0","win",NA,3
"2020-04-24","18:14:33",8201383,"4.0.0","win",NA,3
"2020-04-24","18:14:36",81774920,"3.6.3","osx","US",14
"2020-04-24","18:14:31",1131903,"4.0.0","win","NP",105
"2020-04-24","18:15:00",87660228,"4.0.0","win",NA,3
"2020-04-24","18:14:52",87660742,"4.0.0","win","CO",106
"2020-04-24","18:15:08",6298905,"4.0.0","win","BY",107
"2020-04-24","18:15:10",87669769,"4.0.0","win",NA,3
"2020-04-24","18:15:09",88141375,"4.0.0","osx","US",108
"2020-04-24","18:15:24",87661281,"4.0.0","win",NA,3
"2020-04-24","18:15:32",74972017,"3.3.3","osx","ES",109
"2020-04-24","18:15:38",87660207,"4.0.0","win","DE",110
"2020-04-24","18:15:41",87667536,"4.0.0","win",NA,3
"2020-04-24","18:15:55",88144443,"4.0.0","osx",NA,3
"2020-04-24","18:16:04",29846107,"3.5.1","src","US",111
"2020-04-24","18:15:55",5585397,"3.6.0","osx","US",112
"2020-04-24","18:16:10",81774920,"3.6.3","osx","US",14
"2020-04-24","18:16:39",81774920,"3.6.3","osx","US",14
"2020-04-24","18:16:39",81774920,"3.6.3","osx","US",14
