"","Argentina","Bolivia","Brazil","Chile","Colombia","Ecuador","Guyana","Peru","Paraguay","Suriname","Uruguay","Venezuela, RB"
"2009","0.88650857668638505","1.99410155511924","1.53862567601211","2.2670395690905303","3.8632945405402199","3.1174180881202802","1.5331882559977501","1.52762458746035","0.75395069904967904",NA,"1.8226133795888702","1.2310704154080701"
"2010","0.8148781","1.6662436","1.5394070","2.2422354","3.6311486","3.0105513","1.3754369","1.4721691","0.7511464",NA,"1.8758079","1.0134886"
"2011","0.7642871","1.6841200","1.4118512","2.2560430","3.0727834","3.0951101","1.2581277","1.3954181","0.8456238",NA,"1.7197489","1.1304053"
"2012","0.7848247","1.8455947","1.3786565","2.0469416","3.1667771","2.9454529","1.1764575","1.5120653","0.9641791",NA,"1.8036698","1.3414717"
"2013","0.8377364","1.8409068","1.3294461","1.9864195","3.2888246","2.8758907","1.1760356","1.6702617","0.9620634",NA,"1.8165513","1.6695518"
"2014","0.8781009","1.8968406","1.3302444","1.9582076","3.1322277","2.7392308","1.2765634","1.5848634","0.9890892",NA,"1.8074295","1.1618168"
"2015","0.8501286","1.7439710","1.3655172","1.8978617","3.1308926","2.6160742","1.4584814","1.7220361","1.0688478",NA,"1.8205881","0.9413760"
"2016","0.8131401","1.6344209","1.3501506","1.9184833","3.0750720","2.5147668","1.5054320","1.2997395","0.9518835",NA,"1.8830382","0.4540460"
"2017","0.8561379","1.5423974","1.4195266","1.9356127","3.1862726","2.3612634","1.6794935","1.2421353","0.8939483",NA,"1.9785524","0.4878441"
"2018","0.8545610","1.4965502","1.4749015","1.8873839","3.1725602","2.3767115","1.6932586","1.1871449","0.9305827",NA,"1.9507741",NA
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
