"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@cin_deli","Mar ❤","Control concurrente de la gestión administrativa de la @PoliciaPeru #MensajeALaNación","0","0","3","1606183473000","24 Nov 2020","cin_deli/status/1331056079908835330","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@elantipoda","godforsaken","El Quijote, jala a Cervantes. #MensajealaNacion #MensajePresidencial","0","0","1","1606183832000","24 Nov 2020","elantipoda/status/1331057584393097216","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajealaNacion | MensajePresidencial"
"@chichasaraconte","pao","Renunció!!! #MensajeALaNación","0","0","0","1605460608000","15 Nov 2020","chichasaraconte/status/1328024160954675201","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@andywearsnada","Andrea","Cómo se nota que Sagasti es Libra crjo, quiere quedar bien con todo el mundo #MensajeALaNación","1","0","5","1606183842000","24 Nov 2020","andywearsnada/status/1331057625358880770","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@TercerOjo_Media","Tercer Ojo","#MensajeALaNación Francisco Sagasti dispone el fortalecimiento del sistema de protección de las familias de las víctimas y brigadistas que fueron parte de las protestas.","1","3","18","1606183477000","24 Nov 2020","TercerOjo_Media/status/1331056093561282560","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@VerificadorLR","Verificador LR","#MerinoVerificado | Es cierto que no se puede cambiar la fecha de las Elecciones Generales de 2021, como afirmó Manuel Merino durante su #MensajealaNación #10deNoviembre #VerificadorLR ▶️https://t.co/10EiP6sLK4 https://t.co/jPqJA1eZcM","16","1","35","1605053206000","11 Nov 2020","VerificadorLR/status/1326315396081836032","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MerinoVerificado | MensajealaNación | 10deNoviembre | VerificadorLR"
"@mangcer","Manolito","#MensajeALaNacion ""Hay una mala intención de dividir al país. Y eso no lo vamos a permitir"".","0","0","0","1605023800000","10 Nov 2020","mangcer/status/1326192058323906566","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@ownthescrs","b.","""FUE UN RETO QUÉ ACEPTÉ, Y NO BUSQUÉ..."" ESTE CSMMMMMMM #MensajeALaNacion","0","0","0","1605460437000","15 Nov 2020","ownthescrs/status/1328023443825160192","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@ianzamiq","🇵🇪 Z@MiQ 🇵🇪","Presidente @FSagasti dispone que Servir y Contraloría auditen compras de la PNP. Se les acabó el negocio de generales corruptos y coimeros que ""evaporaban"" la gasolina de patrulleros, así como sus negocios oscuros. @PoliciaPeru #URGENTE #MensajeALaNacion https://t.co/NLo3m4QVUE","0","0","0","1606184061000","24 Nov 2020","ianzamiq/status/1331058545085779969","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","URGENTE | MensajeALaNacion"
"@amarganutella","amarga nutella","#mensajealanacion: ""Es tiempo de paz y de unidad"" Nada de renuncia.","0","0","0","1605460522000","15 Nov 2020","amarganutella/status/1328023801821585408","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","mensajealanacion"
