FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_CCPP;CENTRO_POBLADO_ PTOATENC;CODIGO_2023_PLAFORMA_P;NOMBRE_PLATAFORMA_MOVIL_P;TIPO_PLATAFORMA;NIVEL_GOBIERNO;SECTOR;ENTIDAD;FECHA_INTERVENCION;ATENCIONES;MES;ANIO;TRIMESTRE
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240310; 29 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240308; 1.010 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240309; 732 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240310; 529 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240311; 47 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240311; 61 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240311; 26 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240311; 129 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240311; 9 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240311; 30 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240311; 168 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240311; 105 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240311; 122 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040014;TRIUNFO;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240311; 841 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240312; 41 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240312; 69 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240312; 29 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240312; 75 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240312; 3 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240312; 39 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240312; 167 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240312; 102 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240312; 88 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040016;NUEVA ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240312; 1.333 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240313; 39 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240313; 44 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240313; 17 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240313; 69 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240313; 5 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240313; 34 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240313; 128 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040019;PUERTO JUAN;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240313; 71 ;202403;2024;I
