DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLISTS INJURED,NUMBER OF CYCLISTS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/28/2016,15:00:00,BROOKLYN,11214.0,40.6011838,-73.990972,"(40.6011838, -73.990972)",23 AVENUE,85 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/19/2016,22:00:00,QUEENS,11432.0,40.7130039,-73.78236559999998,"(40.7130039, -73.7823656)",HILLSIDE AVENUE,MIDLAND PARKWAY,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
03/28/2016,15:15:00,BROOKLYN,11225.0,40.66977979999999,-73.9582923,"(40.6697798, -73.9582923)",FRANKLIN AVENUE,UNION STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
03/28/2016,15:30:00,QUEENS,11101.0,40.7429828,-73.93486879999998,"(40.7429828, -73.9348688)",47 AVENUE,31 PLACE,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/19/2016,22:10:00,BROOKLYN,11225.0,40.6673324,-73.95352120000003,"(40.6673324, -73.9535212)",ROGERS AVENUE,CARROLL STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/18/2016,10:11:00,QUEENS,11417.0,40.67171920000001,-73.8509652,"(40.6717192, -73.8509652)",NORTH CONDUIT AVENUE,LINDEN BOULEVARD,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,,,,
03/28/2016,16:00:00,QUEENS,11355.0,40.7534702,-73.8189767,"(40.7534702, -73.8189767)",,,142-05 45 AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,16:00:00,QUEENS,11355.0,40.75784,-73.8244478,"(40.75784, -73.8244478)",,,142-30 SANFORD AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,16:20:00,QUEENS,11379.0,40.716195,-73.8839306,"(40.716195, -73.8839306)",,,71-09 PENELOPE AVENUE,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,16:30:00,BROOKLYN,11211.0,40.7136188,-73.9442256,"(40.7136188, -73.9442256)",,,322 GRAHAM AVENUE,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,BICYCLE,,,,
03/28/2016,16:30:00,QUEENS,11101.0,40.752013,-73.93015340000002,"(40.752013, -73.9301534)",NORTHERN BOULEVARD,34 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,MOTORCYCLE,,,
03/28/2016,16:45:00,BROOKLYN,11236.0,40.6527885,-73.919961,"(40.6527885, -73.919961)",CHURCH AVENUE,REMSEN AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/09/2016,09:05:00,QUEENS,11373.0,40.7289813,-73.8823749,"(40.7289813, -73.8823749)",57 AVENUE,80 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/18/2016,11:11:00,QUEENS,11374.0,40.7294733,-73.8654883,"(40.7294733, -73.8654883)",63 AVENUE,BOOTH STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/28/2016,17:00:00,QUEENS,11358.0,40.76956,-73.80556429999999,"(40.76956, -73.8055643)",32 AVENUE,159 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,17:15:00,BROOKLYN,11205.0,40.6976722,-73.96674250000002,"(40.6976722, -73.9667425)",FLUSHING AVENUE,HALL STREET,,3,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,17:45:00,BROOKLYN,11203.0,40.6566109,-73.9309021,"(40.6566109, -73.9309021)",CLARKSON AVENUE,UTICA AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,18:10:00,QUEENS,11417.0,40.67922,-73.8614075,"(40.67922, -73.8614075)",LIBERTY AVENUE,76 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,BICYCLE,,,
