id,host_id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9423764,17523036,Private room,14,3,41,30/10/2017,1.01,1,57
9424825,48859302,Entire home/apt,120,2,1,25/02/2016,0.03,1,0
9432658,48891239,Entire home/apt,1595,2,5,18/06/2017,0.14,1,181
9441350,46696994,Private room,88,4,147,03/04/2019,3.56,5,248
9447591,21990117,Private room,38,3,191,02/04/2019,4.72,2,44
9456475,8658841,Private room,789,5,8,08/08/2017,0.2,1,364
9458953,8719516,Private room,50,1,19,01/01/2019,0.54,1,354
9459773,2922864,Entire home/apt,72,31,44,08/07/2018,1.21,5,97
9469358,1269810,Private room,90,3,8,26/10/2018,0.25,3,173
9469705,17590968,Entire home/apt,119,2,130,26/03/2019,3.27,1,323
9483720,8130906,Entire home/apt,420,3,34,28/11/2018,0.88,42,326
9486348,9784103,Entire home/apt,90,3,3,17/01/2019,0.13,33,201
9486694,33930158,Entire home/apt,30,1,12,08/04/2019,0.3,1,361
9487962,8130906,Private room,334,3,31,27/03/2019,0.81,42,211
9488554,1447144,Private room,152,1,4,09/07/2018,0.11,74,345
9489893,42942777,Private room,25,4,41,15/03/2019,1.03,3,155
9494284,47215369,Private room,155,99,5,30/03/2018,0.14,1,364
9498918,47964103,Private room,47,2,146,11/03/2019,3.72,2,249
9501577,6976046,Entire home/apt,75,1,1,25/03/2019,1,2,365
9507426,45799888,Entire home/apt,23,5,25,19/03/2019,0.72,1,221
9517961,10331383,Entire home/apt,50,4,100,27/03/2019,2.49,1,235
9518537,8130906,Private room,647,3,31,12/03/2019,0.86,42,150
9521249,7416666,Private room,89,1,207,07/04/2019,5.02,1,202
9523853,1744516,Entire home/apt,115,3,8,09/03/2019,0.24,19,336
9529845,33572211,Entire home/apt,140,3,159,05/04/2019,4.18,2,139
9535215,49392522,Entire home/apt,100,1,14,27/02/2019,0.37,5,99
9537761,1986299,Private room,79,1,7,29/03/2019,0.2,19,171
9538667,31562367,Private room,200,2,110,25/11/2018,2.89,1,0
9555049,8952216,Private room,30,3,119,27/03/2019,2.99,1,125
9555646,8130906,Entire home/apt,413,3,15,03/04/2019,0.41,42,235
9557814,42942777,Private room,23,4,63,01/04/2019,1.58,3,65
9560093,19634488,Entire home/apt,40,1,1,23/11/2015,0.02,1,0
9586705,49622519,Entire home/apt,38,3,1,29/02/2016,0.03,1,0
9586981,49624038,Private room,41,3,126,08/04/2019,3.17,1,265
9591088,49642056,Entire home/apt,37,2,156,28/03/2019,3.89,3,118
9600132,2041901,Entire home/apt,105,3,54,25/03/2019,1.34,16,172
9600571,32037490,Entire home/apt,90,2,52,13/03/2019,1.76,77,231
9600851,32037490,Private room,70,2,36,04/04/2019,0.98,77,227
9600936,32037490,Entire home/apt,90,2,68,08/03/2019,1.79,77,238
9601840,8130906,Private room,417,3,28,28/03/2019,0.76,42,210
9602167,3556337,Entire home/apt,200,6,24,31/03/2019,0.7,14,282
9602216,3556337,Entire home/apt,180,6,27,01/10/2018,0.82,14,48
9602351,3556337,Entire home/apt,150,6,14,11/09/2018,0.35,14,254
9602567,39357860,Private room,40,1,235,31/03/2019,5.85,3,229
9602587,3556337,Private room,140,6,40,08/04/2019,1.16,14,246
9608116,42942777,Private room,34,4,34,31/01/2019,0.97,3,111
9617892,771458,Private room,22,32,44,09/04/2019,1.58,12,282
9620968,25064198,Entire home/apt,250,2,11,20/08/2018,0.28,1,63
9621638,27159185,Private room,85,1,29,21/03/2019,0.73,11,217
9626098,8130906,Entire home/apt,420,3,40,28/01/2019,1.01,42,326
9628057,28885299,Entire home/apt,90,2,150,28/01/2019,3.74,1,0
9638218,49842769,Entire home/apt,20,3,56,27/03/2019,1.56,2,80
9639522,43399128,Private room,69,2,162,09/04/2019,4.55,2,85
9643682,45495375,Entire home/apt,27,2,83,23/09/2017,2.04,1,0
9646964,17325625,Entire home/apt,34,2,235,24/03/2019,6.02,1,20
9651914,1163636,Private room,50,32,152,20/03/2019,4.24,2,122
9657764,49921153,Entire home/apt,40,3,20,11/07/2016,0.5,1,0
9659140,8130906,Entire home/apt,274,3,57,06/04/2019,1.64,42,166
9659171,49918232,Private room,95,4,75,01/03/2019,1.86,2,248
9660906,49932767,Private room,175,3,65,07/04/2019,1.74,1,11
9661517,8130906,Entire home/apt,373,3,7,23/10/2018,0.18,42,205
9661897,49918232,Entire home/apt,105,4,98,06/04/2019,2.55,2,266
9663802,2092211,Private room,140,3,4,09/10/2016,0.11,1,365
9664354,8320113,Entire home/apt,150,5,25,02/11/2018,0.63,2,283
9665896,23659066,Private room,27,7,2,11/05/2017,0.07,1,0
9675384,136853,Private room,120,1,58,24/03/2019,1.5,41,238
9676316,136853,Entire home/apt,62,1,67,23/03/2019,1.69,41,198
9679336,15892125,Entire home/apt,25,1,30,11/02/2019,0.77,14,0
9684383,9466729,Private room,135,2,169,08/04/2019,4.25,2,217
9688838,10180380,Entire home/apt,60,32,2,16/10/2017,0.07,3,302
9689898,11195576,Entire home/apt,50,2,52,01/03/2019,1.31,1,100
9690678,49206344,Entire home/apt,19,2,7,04/02/2016,0.18,1,0
9693356,50062267,Entire home/apt,73,2,32,20/08/2018,0.86,3,199
9693459,50062267,Entire home/apt,72,2,78,27/10/2018,2.05,3,100
9701861,6709450,Entire home/apt,120,3,107,07/04/2019,2.63,6,72
9702473,3678711,Entire home/apt,55,1,12,16/12/2018,0.3,8,26
9705459,7678192,Entire home/apt,35,1,254,05/04/2019,6.39,2,54
9713281,34400839,Private room,30,2,10,23/10/2018,1.11,3,28
9716844,23850305,Entire home/apt,100,2,199,03/04/2019,4.97,3,118
9716912,23850305,Private room,150,2,195,10/04/2019,4.81,3,133
9720815,136853,Entire home/apt,62,1,52,24/03/2019,1.3,41,207
9721011,50177318,Entire home/apt,40,2,51,31/03/2019,1.29,1,94
9721931,136853,Entire home/apt,62,1,32,16/03/2019,0.92,41,208
9722582,136853,Entire home/apt,62,1,68,25/03/2019,1.86,41,189
9722756,136853,Private room,62,1,78,03/04/2019,1.97,41,195
9725761,10380563,Private room,80,32,3,28/02/2019,0.11,44,253
9728875,41158919,Private room,50,2,147,14/03/2019,4.01,3,63
9731830,26513958,Entire home/apt,95,1,116,03/04/2019,2.9,5,88
9741613,2202284,Entire home/apt,179,3,44,17/03/2019,1.16,8,188
9743431,50267332,Entire home/apt,30,4,10,05/09/2017,0.27,1,0
9745500,49704172,Entire home/apt,14,5,109,03/04/2019,2.94,3,21
9746627,50280589,Private room,30,2,102,05/03/2019,2.56,1,37
9746950,50282028,Private room,40,4,1,20/08/2016,0.03,1,0
9750334,50291804,Entire home/apt,130,3,21,07/04/2019,0.55,3,309
9767973,6099660,Entire home/apt,75,1,35,06/03/2019,0.91,46,176
9768214,6099660,Entire home/apt,75,1,47,25/03/2019,1.2,46,155
9768453,6099660,Private room,100,1,18,21/01/2019,0.47,46,168
9771358,6099660,Entire home/apt,100,1,29,20/03/2019,0.78,46,146
9772463,50384829,Private room,70,3,24,04/03/2019,0.63,1,8
9774000,6099660,Private room,85,1,19,23/02/2019,0.57,46,214
9774714,6099660,Entire home/apt,70,1,37,21/03/2019,0.98,46,192
9775370,6099660,Entire home/apt,70,1,36,09/03/2019,0.99,46,207
9775612,6099660,Private room,65,1,58,17/03/2019,1.54,46,181
9781270,10677016,Entire home/apt,20,4,1,30/06/2016,0.03,2,0
9783208,7053689,Entire home/apt,163,4,100,23/02/2019,2.5,27,288
9783502,8130906,Private room,419,3,60,01/04/2019,1.57,42,194
9787658,8510344,Entire home/apt,45,1,122,15/03/2019,3.16,2,146
9790938,37224044,Entire home/apt,166,2,1,10/07/2016,0.03,12,277
9804742,50515381,Private room,40,3,80,15/03/2019,2.18,1,257
9806352,15052431,Entire home/apt,18,31,3,25/08/2017,0.09,3,308
9816435,50566464,Private room,30,2,66,31/12/2018,1.66,1,323
9818619,43164938,Private room,58,2,13,15/04/2017,0.33,1,0
9819250,1447144,Private room,315,1,1,06/09/2016,0.03,74,343
9829299,6681663,Private room,100,2,113,24/03/2019,3.06,1,227
9839640,50669209,Entire home/apt,46,1,55,24/09/2018,1.38,1,358
9841823,9477063,Private room,126,5,111,19/03/2019,2.79,6,236
9850272,28075490,Private room,52,1,16,07/04/2019,2.47,1,122
9853291,1391607,Entire home/apt,150,3,10,11/11/2018,0.25,95,100
9855445,2608724,Entire home/apt,599,3,1,15/05/2016,0.03,3,286
9870111,6824154,Entire home/apt,59,31,12,05/03/2019,0.35,1,254
9873481,50808142,Entire home/apt,19,1,56,20/09/2018,1.46,3,322
9876681,1230477,Entire home/apt,134,2,87,17/02/2019,2.29,2,137
9878180,50826613,Entire home/apt,25,1,1,02/01/2016,0.03,1,0
9880960,50442915,Private room,16,30,5,30/09/2018,0.13,3,283
9882952,23890844,Entire home/apt,30,28,3,30/06/2017,0.08,2,196
9891945,10547296,Entire home/apt,179,2,81,27/03/2019,2.09,47,145
9892504,50885817,Private room,220,3,107,09/04/2019,2.69,4,242
9893319,24180257,Entire home/apt,18,1,15,02/09/2016,0.39,1,0
9893781,136853,Entire home/apt,53,1,46,21/03/2019,1.16,41,268
