id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
5954913,30911762,Les Corts,les Corts,41.38587,2.14091
5958368,30930534,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38787,2.18167
5961899,30948879,Eixample,la Nova Esquerra de l'Eixample,41.37863,2.15292
5976047,665793,Eixample,l'Antiga Esquerra de l'Eixample,41.38948,2.15942
5979925,25605008,Les Corts,Pedralbes,41.39027,2.12629
5986105,31079217,Ciutat Vella,el Raval,41.37466,2.17539
5987458,2678847,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38731,2.18109
5989430,31087298,Sant Martí,la Vila Olímpica del Poblenou,41.391,2.18857
5989431,31087298,Sant Martí,el Parc i la Llacuna del Poblenou,41.39121,2.1887
5996208,9503026,Sant Martí,el Besòs i el Maresme,41.41175,2.21773
5997351,31136833,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.41052,2.21204
5997463,13709789,Nou Barris,el Turó de la Peira,41.43068,2.16581
6000292,136853,Gràcia,la Vila de Gràcia,41.40387,2.15505
6000477,31150204,Gràcia,la Salut,41.41159,2.15454
6018066,10884335,Ciutat Vella,el Raval,41.38041,2.17143
6023676,31264937,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4051,2.14158
6028192,31152073,Sants-Montjuïc,el Poble Sec,41.37361,2.16785
6028670,31286918,Ciutat Vella,el Raval,41.3785,2.16491
6028889,31152073,Sants-Montjuïc,el Poble Sec,41.37301,2.16571
6031967,12274801,Ciutat Vella,el Raval,41.37545,2.17039
6034571,375625,Sant Martí,el Poblenou,41.39791,2.20696
6035889,375625,Sant Martí,el Poblenou,41.39883,2.20814
6036674,23949110,Sant Martí,el Poblenou,41.40207,2.20313
6036838,31331146,Horta-Guinardó,el Baix Guinardó,41.41233,2.17262
6046460,9364532,Ciutat Vella,el Raval,41.38207,2.1659
6058351,31444478,Gràcia,la Vila de Gràcia,41.39845,2.1583
6081936,31538123,Gràcia,la Vila de Gràcia,41.40146,2.15327
6082313,27954529,Sants-Montjuïc,el Poble Sec,41.37387,2.16838
6083039,4053184,Sant Martí,el Camp de l'Arpa del Clot,41.40844,2.18208
6092632,15180824,Gràcia,la Vila de Gràcia,41.40281,2.16067
6096237,10456802,Eixample,l'Antiga Esquerra de l'Eixample,41.38726,2.15897
6102594,12643453,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39935,2.14929
6109659,30955935,Nou Barris,Ciutat Meridiana,41.45972,2.17703
6118153,18412267,Horta-Guinardó,el Baix Guinardó,41.41257,2.16879
6124474,28043451,Eixample,la Dreta de l'Eixample,41.39959,2.17302
6129655,31799569,Ciutat Vella,el Raval,41.38422,2.16936
6129757,31799569,Ciutat Vella,el Raval,41.38415,2.17048
6132427,4357751,Sants-Montjuïc,la Bordeta,41.36974,2.1386
6132605,31799569,Ciutat Vella,el Raval,41.3845,2.16889
6138905,31846646,Sant Martí,el Poblenou,41.40218,2.20347
6151056,31908188,Sant Martí,el Parc i la Llacuna del Poblenou,41.39315,2.1859
6151204,31908682,Sants-Montjuïc,el Poble Sec,41.37367,2.15883
6151840,15892125,Sant Martí,el Clot,41.41422,2.19192
6152161,15892125,Sant Martí,el Clot,41.41441,2.19213
6152163,15892125,Sant Martí,el Clot,41.41397,2.19188
